"","time","incidence","cases","hospitalisations","deaths","date"
"104",134,54,30,10,9,2025-04-15
"105",135,47,25,16,8,2025-04-16
"106",136,45,17,13,8,2025-04-17
"107",137,42,20,7,6,2025-04-18
"108",138,53,22,9,9,2025-04-19
"109",139,40,13,8,4,2025-04-20
"110",140,29,15,11,3,2025-04-21
"111",141,37,14,6,4,2025-04-22
"112",142,19,13,5,5,2025-04-23
"113",143,26,13,8,2,2025-04-24
"114",144,29,6,3,4,2025-04-25
"115",145,25,9,2,6,2025-04-26
"116",146,13,11,4,3,2025-04-27
"117",147,13,4,4,1,2025-04-28
"118",148,9,1,2,0,2025-04-29
"119",149,13,2,2,3,2025-04-30
"120",150,16,5,0,0,2025-05-01
"121",151,15,7,4,2,2025-05-02
"122",152,14,6,2,3,2025-05-03
"123",153,12,5,7,3,2025-05-04
"124",154,6,6,3,2,2025-05-05
"125",155,4,3,0,0,2025-05-06
"126",156,9,1,3,0,2025-05-07
"127",157,7,2,1,0,2025-05-08
"128",158,7,7,0,0,2025-05-09
"129",159,2,2,1,0,2025-05-10
"130",160,0,0,0,2,2025-05-11
"131",161,6,2,2,1,2025-05-12
"132",162,4,1,0,0,2025-05-13
"133",163,1,3,1,1,2025-05-14
"134",164,1,0,0,0,2025-05-15
"135",165,6,0,1,0,2025-05-16
"136",166,2,0,0,1,2025-05-17
"137",167,0,2,0,0,2025-05-18
"138",168,0,0,0,0,2025-05-19
"139",169,2,0,0,0,2025-05-20
"140",170,2,0,0,1,2025-05-21
"141",171,3,0,0,1,2025-05-22
"142",172,1,1,0,0,2025-05-23
"143",173,0,1,0,0,2025-05-24
"144",174,0,0,0,0,2025-05-25
"145",175,2,0,0,0,2025-05-26
"146",176,1,0,0,0,2025-05-27
"147",177,2,0,0,0,2025-05-28
"148",178,1,0,0,0,2025-05-29
"149",179,1,0,0,0,2025-05-30
"150",180,1,0,0,0,2025-05-31
